15,Ever Taste Product - Pasyala,45826,INV-49055,20,,3958.4,0
16,Ever Taste Product - Pasyala,45826,INV-49054,,2,3958.4,7916.8
17,Ever Taste Product - Pasyala,45829,INV-49237,50,,3958.4,0
18,Ever Taste Product - Pasyala,45829,INV-49236,,5,3958.4,19792
19,Ever Taste Product - Pasyala,45833,INV-49396,60,,3958.4,0
20,Ever Taste Product - Pasyala,45833,INV-49397,,6,3958.4,23750.4
21,Ever Taste Product - Pasyala,45836,INV-49782,70,,3958.4,0
22,Ever Taste Product - Pasyala,45836,INV-49783,,7,3958.4,27708.8
1,Thilak Traders,45841,INV-50271,40,,3958.4,0
2,Thilak Traders,45841,INV-50272,,4,3958.4,15833.6
3,Thilak Traders,45842,INV-50327,10,,3958.4,0
4,Thilak Traders,45842,INV-50329,,1,3958.4,3958.4
5,Thilak Traders,45843,INV-50578,10,,3958.4,0
6,Thilak Traders,45843,INV-50579,,1,3958.4,3958.4
7,Thilak Traders,45845,INV-50717,20,,3958.4,0
8,Thilak Traders,45845,INV-50719,,2,3958.4,7916.8
9,Thilak Traders,45849,INV-51183,30,,3958.4,0
10,Thilak Traders,45849,INV-51184,,3,3958.4,11875.2
11,Thilak Traders,45850,INV-51360,10,,3958.4,0
12,Thilak Traders,45850,INV-51361,,1,3958.4,3958.4
13,Thilak Traders,45852,INV-51426,20,,3958.4,0
14,Thilak Traders,45852,INV-51427,,2,3958.4,7916.8
15,Ever Taste Product - Pasyala,45840,INV-50166,70,,3958.4,0
16,Ever Taste Product - Pasyala,45840,INV-50162,,7,3958.4,27708.8
17,Ever Taste Product - Pasyala,45843,INV-50564,40,,3958.4,0
18,Ever Taste Product - Pasyala,45843,INV-50568,,4,3958.4,15833.6
19,Ever Taste Product - Pasyala,45847,INV-51083,60,,3958.4,0
20,Ever Taste Product - Pasyala,45847,INV-51081,,6,3958.4,23750.4
21,Ever Taste Product - Pasyala,45850,INV-51350,21,,3958.4,0
22,Ever Taste Product - Pasyala,45850,INV-51353,,2,3958.4,7916.8
23,BGID Gunasekara (Ruhunu H/W),45840,INV-50071,40,,3958.4,0
24,BGID Gunasekara (Ruhunu H/W),45840,INV-50073,,4,3958.4,15833.6
25,BGID Gunasekara (Ruhunu H/W),45843,INV-50511,20,,3958.4,0
26,BGID Gunasekara (Ruhunu H/W),45843,INV-50513,,2,3958.4,7916.8
27,BGID Gunasekara (Ruhunu H/W),45847,INV-50986,30,,3958.4,0
28,BGID Gunasekara (Ruhunu H/W),45847,INV-50987,,3,3958.4,11875.2
29,BGID Gunasekara (Ruhunu H/W),45849,INV-51161,20,,3958.4,0
30,BGID Gunasekara (Ruhunu H/W),45849,INV-51162,,2,3958.4,7916.8
31,BGID Gunasekara (Ruhunu H/W),45850,INV-51312,10,,3958.4,0
32,BGID Gunasekara (Ruhunu H/W),45850,INV-51313,,1,3958.4,3958.4
33,Ceylon Steel Trading Company,45841,INV-50197,30,,3958.4,0
34,Ceylon Steel Trading Company,45841,INV-50199,,3,3958.4,11875.2
35,Ceylon Steel Trading Company,45846,INV-50787,10,,3958.4,0
36,Ceylon Steel Trading Company,45846,INV-50788,,1,3958.4,3958.4
1,Thilak Traders,45855,INV-51919,30,,3958.4,0
2,Thilak Traders,45855,INV-51920,,3,3958.4,11875.2
3,Thilak Traders,45856,INV-51970,10,,3958.4,0
4,Thilak Traders,45856,INV-51971,,1,3958.4,3958.4
5,Thilak Traders,45857,INV-52080,20,,3958.4,0
6,Thilak Traders,45857,INV-52081,,2,3958.4,7916.8
7,Thilak Traders,45859,INV-52169,10,,3958.4,0
8,Thilak Traders,45859,INV-52170,,1,3958.4,3958.4
9,Thilak Traders,45862,INV-52401,20,,3958.4,0
10,Thilak Traders,45862,INV-52402,,2,3958.4,7916.8
11,Thilak Traders,45863,INV-52460,20,,3958.4,0
12,Thilak Traders,45863,INV-52461,,2,3958.4,7916.8
13,Thilak Traders,45866,INV-52666,30,,3958.4,0
14,Thilak Traders,45866,INV-52667,,3,3958.4,11875.2
15,Thilak Traders,45867,INV-52763,20,,3958.4,0
16,Thilak Traders,45867,INV-52764,,2,3958.4,7916.8
17,Thilak Traders,45869,INV-52858,20,,3958.4,0
18,Thilak Traders,45869,INV-52859,,2,3958.4,7916.8
19,Ever Taste Product - Pasyala,45854,INV-51770,50,,3958.4,0
